id,population,centroid.size_femur,centroid.size_tibia,centroid.size_pretarsus,centroid.size_claw
KLS1_A681,KLS1,7.517846471,7.957363398,4.477838085,3.044263666
KLS1_A683,KLS1,7.091946999,8.109605194,4.557115682,3.233847356
KLS1_A689,KLS1,7.436954532,8.03757065,4.228245894,2.784156865
KLS1_A692,KLS1,7.522374562,8.049188102,4.506931802,3.186601528
KLS1_A694,KLS1,7.5535469,8.495412424,4.590608254,3.048153458
KLS1_A695,KLS1,7.585196305,8.126444137,4.536577656,3.074503228
KLS1_A696,KLS1,7.105972392,7.765541022,4.349131376,3.004574664
KLS1_A698,KLS1,7.470060441,8.146899558,4.672716841,3.215075787
KLS1_A699,KLS1,NA,8.425519207,4.651581949,3.343020315
KLS1_A700,KLS1,NA,8.469188098,4.782057032,3.316787746
KLS1_A701,KLS1,7.41477447,8.069462894,4.441135581,3.238351907
KLS1_A701_2,KLS1,7.435107985,8.000429718,4.460085128,3.238740566
KLS1_A704.2,KLS1,8.114263191,8.486795501,5.017064411,3.44041892
KLS1_A705,KLS1,7.408392932,8.435344509,4.390565972,3.012458384
KLS1_A706,KLS1,7.711667056,8.4823333,4.575422617,3.051735735
KLS1_A707,KLS1,7.621221876,8.544054212,4.89947027,3.385089265
KLS1_A708,KLS1,7.870432298,8.525141816,4.842260765,3.458875741
KLS1_A709,KLS1,8.002413431,8.30008007,4.766526422,3.381369002
KLS1_A710,KLS1,7.784477229,8.439057901,4.678821817,3.202033595
KLS1_A712,KLS1,6.967536075,7.438417848,4.324044527,2.952697767
KLS1_A713,KLS1,8.26540698,8.73682824,4.669132952,3.32369967
KLS1_A714,KLS1,7.768202769,8.683088264,4.838698412,3.059744109
KLS1_A715,KLS1,7.972968603,8.625418906,4.755441332,3.34510595
KLS1_M27,KLS1,NA,8.051226372,4.486448957,3.007548299
KLS1_M16,KLS1,8.046158217,8.753744776,4.885648047,3.290833738
KLS1_M19,KLS1,8.320479712,9.417090486,5.478000743,3.489872161
KLS1_M22,KLS1,8.142590014,9.13682384,5.102065553,3.370555311
KLS1_M23,KLS1,7.969002293,9.012259951,4.944698497,3.45899689
KLS1_M26,KLS1,7.770446637,8.244316004,4.667257991,3.127163888
KLS1_M3,KLS1,8.055739174,8.726079889,5.038313122,3.335088213
KLS1_M32,KLS1,7.794444212,8.749716224,4.781534133,3.379493233
KLS1_M34,KLS1,8.067727924,8.827551249,4.95952946,3.383570928
KLS1_M39,KLS1,7.62535866,7.709218986,4.354916824,3.021451571
KLS1_M43,KLS1,7.751872388,8.60212641,5.013872949,3.183677084
KLS1_M48,KLS1,7.300879764,7.592312321,4.30522558,2.705536687
KLS1_M7,KLS1,8.418641938,8.751021007,4.988888195,3.515265328
KLS2_M136,KLS2,NA,8.667802599,4.676984951,3.129351834
KLS2_M154,KLS2,NA,8.867048543,5.039088317,3.267344555
KLS2_M181,KLS2,NA,8.318109089,4.399962759,NA
KLS2_M240,KLS2,NA,8.887072963,5.27353748,3.410729478
KLS2_M323,KLS2,NA,8.857293839,5.227124594,3.413006753
KLS2_M325,KLS2,NA,8.176709487,5.026076619,3.464865108
KLS2_M349,KLS2,NA,8.943870553,5.260984536,3.775914889
KLS2_M351_w,KLS2,NA,9.200391889,5.312538184,3.562544936
KLS2_M361,KLS2,NA,9.238281791,5.083270501,3.625923882
KLS2_M104,KLS2,8.213993435,8.414490005,4.819170066,3.124138232
KLS2_M105,KLS2,8.789904212,9.278226476,5.351234463,3.643709986
KLS2_M111,KLS2,7.993870777,8.440558096,4.705712248,3.355951629
KLS2_M114,KLS2,7.763845885,8.148699307,4.533634039,3.07994982
KLS2_M116,KLS2,7.88432103,7.993370588,4.764025022,3.117732457
KLS2_M118,KLS2,7.781059232,8.112312109,4.557477842,2.937387762
KLS2_M119,KLS2,8.27853709,8.399836354,5.205975508,3.497050518
KLS2_M122,KLS2,7.742158462,8.501132275,4.733809762,3.314397212
KLS2_M123,KLS2,8.262014488,8.535106286,5.03826329,3.580639948
KLS2_M125,KLS2,7.479377901,7.95472386,4.603818349,3.295809647
KLS2_M127,KLS2,8.26257561,8.88272761,5.159377456,3.575278877
KLS2_M128,KLS2,7.63460784,8.003705582,4.6899268,NA
KLS2_M130,KLS2,8.340985733,8.81801033,4.954014911,3.321154943
